        ID   English  Calculus   Physics Chemistry
     00001       0.0       2.5      35.3      66.7
     00002      96.3      83.8      33.5      91.5
     00003      79.6      83.3      34.5      87.1
     00004       9.0      88.8      70.1      73.5
     00005      30.0       5.0      90.8       9.8
     00006       4.0       8.5      55.9      92.6
     00007       7.6      91.2       9.2      63.8
     00008      85.2      12.1      99.5      77.8
     00009       2.0      17.0      99.5      75.4
     00010      21.8      65.9      53.9      48.0
     00011      83.9       2.5      98.9      58.6
     00012      76.7      44.5      71.0      79.5
     00013      43.9      20.9      73.1      66.6
     00014      72.2      21.1      30.8      26.3
     00015      75.2      55.0      63.7      63.1
     00016      49.5      47.1      12.3      53.5
     00017      19.4      96.8      58.9       1.8
     00018      31.4      55.3      67.6       1.7
     00019      26.6      46.1      83.7      22.9
     00020      62.4       4.5      52.3      81.0
     00021      33.2      89.2      70.3      74.6
     00022      25.9      67.1      65.5      93.5
     00023      97.1      50.1      43.0      31.7
     00024      60.4      16.9      92.6      53.6
     00025      53.8      56.5      37.0      48.8
     00026      19.3      60.3      63.9      47.8
     00027      74.7      66.1      97.5      88.9
     00028      78.4      97.8      64.4      30.7
     00029      23.8      28.3      93.9      22.0
     00030      67.6      54.8      25.7      17.2
     00031      84.4      86.7      45.6      60.8
     00032      63.0      19.0       9.1      70.7
     00033      25.7      29.5      37.9      15.5
     00034      86.8      96.2      18.9      67.2
     00035      20.1      96.0      60.2      73.7
     00036      92.3      35.3      97.8      77.3
     00037      56.9      18.2      63.3      80.9
     00038      15.5      59.9      65.9      37.7
     00039      81.8      54.5      98.2      92.9
     00040      81.2       5.4      20.1      63.1
     00041      10.5      16.4      51.9      20.9
     00042      26.7       6.9       2.0      80.5
     00043      54.1      94.1      71.9      54.0
     00044      77.5       4.3      25.1      61.5
     00045      35.8      22.2      91.1      20.4
     00046      95.5      86.6      69.3      23.9
     00047      37.9      90.6      38.9      54.3
     00048      72.6      90.3      33.0      15.4
     00049      83.0      61.8      79.4       5.1
     00050      73.9      60.2      94.6      20.8
     00051      89.0      47.9      33.9      88.1
     00052      64.5      50.4      61.6      56.0
     00053      31.5      87.1      21.0      13.2
     00054      25.9      68.7      24.1      84.9
     00055      67.5      15.8      34.8      61.4
     00056      41.7      79.5      40.1      54.5
     00057      34.2      76.8      20.3      76.1
     00058      53.5      45.4      19.9      75.3
     00059      29.3      20.2      63.4      33.0
     00060      76.5      42.7       7.3      68.4
     00061      97.1      81.2      15.9      20.0
     00062      44.2      89.2      79.3      93.4
     00063       4.1      23.1      46.3      30.1
     00064      41.1      56.9      88.0      88.7
     00065      70.1      29.7      51.5      57.0
     00066      46.4      63.5      58.9      64.4
     00067      35.0      55.7      76.7      66.4
     00068       0.4      42.7      96.7       6.7
     00069      73.5      33.8       6.7      82.9
     00070      41.4       5.5      90.3      30.3
     00071      11.9      40.1      94.8      40.8
     00072      59.8      73.9      97.8      22.9
     00073      36.4      30.8      96.5      47.4
     00074      41.1      21.0      89.5       6.1
     00075      84.4      32.3      34.9      27.0
     00076      97.4      94.4      87.4      47.4
     00077      39.7      73.9      53.0      56.6
     00078      11.2      10.0      45.7      66.6
     00079      62.8       7.8      86.4      73.4
     00080      79.3      25.2      89.5       8.4
     00081      77.2       4.3      45.9      37.0
     00082      88.9      30.1      22.7       4.3
     00083      86.8      77.2      59.7      92.4
     00084       6.4      74.3      15.0      54.6
     00085      15.0       3.4      33.4      11.3
     00086      28.3      44.3      11.6      40.8
     00087      14.7       6.4      20.9      86.6
     00088       6.7      48.7      97.2      40.1
     00089      20.4      91.9      89.2      56.1
     00090      41.2      74.1      10.3      97.1
     00091      16.3      40.7      48.9      37.2
     00092      82.4      25.3      94.8      51.2
     00093      73.4      63.9       3.2      14.1
     00094      94.1      20.3      85.7      22.6
     00095      59.3      84.7      55.6      69.5
     00096      25.6      64.4      88.6      93.2
     00097      10.0      82.3      85.6      49.4
     00098      69.3      55.8      79.8      67.2
     00099      48.1      80.8      81.3      23.3
     00100      10.1      70.8      55.6      34.9
     00101      35.5      21.5      26.0      86.6
     00102      22.1      18.7      22.8      36.1
     00103      73.4      32.5      69.8      40.3
     00104      44.1      34.3      82.8      76.2
     00105      66.5      87.9      84.5      98.8
     00106      65.5      85.0      90.3      84.6
     00107      20.7      64.2      13.7      19.3
     00108      96.7      36.1      16.1       1.7
     00109      49.8      97.1      63.6      88.4
     00110      84.7      62.6       6.0      32.8
     00111      30.2      12.4      90.6      25.3
     00112      16.5      27.7      98.7      57.6
     00113      55.3      59.1      76.6      85.0
     00114      63.3      57.5      14.1      89.0
     00115       9.0      96.3      38.0      96.5
     00116      19.2      63.2      45.2      45.8
     00117      91.3      59.7       4.5       9.0
     00118      49.5      60.5       7.6      47.3
     00119      83.1      11.9       4.8      70.0
     00120      90.5      31.5       5.9       9.9
     00121      96.2       8.0      37.3      81.1
     00122      90.3      45.3      82.7      32.1
     00123      27.8      34.8      18.3      30.6
     00124      15.9      85.5      86.7      57.2
     00125      37.2      14.0      98.0      51.7
     00126      53.3      13.9      47.0      29.9
     00127      88.6      72.4      76.8      25.7
     00128      33.3      69.8      16.9      33.3
     00129      65.9      53.9      42.6      83.0
     00130      92.1      96.7      54.0      73.5
     00131      96.3      54.6      20.9      68.5
     00132      57.0      73.4      12.3      34.7
     00133      78.7      49.5      82.8       9.1
     00134      85.7      31.2      38.9      39.7
     00135      38.5      45.7      77.9      75.3
     00136      95.0      36.1       1.6      90.5
     00137      65.5      67.3       7.6      16.2
     00138      59.3      38.6      57.2      52.0
     00139      57.2      97.8      76.7      85.1
     00140      22.9      96.2      30.8      26.4
     00141      54.3      23.0      71.8      96.5
     00142      60.8      57.3      64.3      78.7
     00143      21.8      56.3      11.8      93.8
     00144      80.8      27.8      54.0      72.8
     00145      57.2      49.7      89.1      78.2
     00146      10.6      55.8      72.0      10.2
     00147       5.9      62.4      51.5      62.5
     00148      73.9      21.5      27.8      38.7
     00149       0.5      85.1      84.1      10.4
     00150      82.1      41.1      59.7      64.8
     00151       7.3      33.1      95.6      55.9
     00152      64.5      42.8      96.4      11.8
     00153      77.8      84.1      63.5      51.2
     00154      71.8      14.9       1.5      37.7
     00155      36.0      76.5      15.5      49.7
     00156      97.3      77.7      38.3      88.3
     00157      91.4      98.6      44.7      74.9
     00158      19.6      72.1      12.3      48.3
     00159      34.8      57.8      69.3      60.8
     00160      52.9      66.1      51.9      59.8
     00161      24.3      56.4      98.5      67.7
     00162      79.5      97.3      48.3      55.3
     00163      84.9      35.6      51.1      53.8
     00164      31.3      83.5      39.1      35.8
     00165      33.7      69.9      83.3      73.3
     00166      73.8      94.9       4.7      35.4
     00167      70.6      84.6      60.6      23.4
     00168      12.1      20.2      28.3      88.9
     00169      79.0      38.7      94.2      45.2
     00170      99.3      58.7      67.1      13.9
     00171      94.8      36.7      86.5      85.0
     00172      36.1       6.1       7.1      92.0
     00173      22.8       2.8       5.4       3.1
     00174       7.6      45.2      51.3      57.4
     00175       8.9      62.2      54.3      74.2
     00176       4.5      58.2      21.1      82.5
     00177      38.6      56.9      38.7      73.1
     00178      28.6       1.5      70.6      13.9
     00179       6.4       2.3      99.4      63.9
     00180      76.6       4.7       9.0      90.4
     00181      32.9      87.5      49.0      69.8
     00182      83.6       8.6      40.6      63.3
     00183      36.1      58.7      31.5      63.6
     00184      70.6      64.2       4.1      12.7
     00185      59.6      45.5      86.9      25.4
     00186      78.6      99.6      16.8      64.5
     00187      77.0      31.6      60.3      29.8
     00188      20.6      95.8      58.8       5.7
     00189      44.0      83.0      48.4      91.3
     00190      96.7      71.3      25.3      10.8
     00191      30.4      61.3      38.8      76.5
     00192      10.4       1.1      98.8      68.2
     00193       0.6      96.1      32.2      30.9
     00194      49.2      18.3      96.7      17.4
     00195      21.9      54.2      52.2      54.1
     00196      51.4      60.1      20.5      95.3
     00197      28.9       8.8      23.5      69.8
     00198      78.7      19.8      28.5      99.0
     00199      66.0      49.9      51.3      68.9
     00200      60.4       7.1      40.5       3.5
     00201      87.2      29.3      56.7      80.9
     00202      94.6      17.3      82.7      53.9
     00203       2.1      34.4      34.1      80.8
     00204      26.7      68.0      93.6      94.6
     00205      90.9      81.9      12.5      40.7
     00206      17.5      93.6      37.1      82.0
     00207      75.1      90.3      36.0      41.1
     00208      75.7      77.1      13.3      47.0
     00209      67.1      45.6      96.7       6.5
     00210      33.6      24.7      75.5      27.9
     00211      97.6      56.4      96.5      66.8
     00212      55.1      32.9      47.2      15.7
     00213      69.1      16.6      45.1      99.0
     00214      47.6      39.0      98.5      82.2
     00215      95.4      12.3      39.9      80.1
     00216      50.6      78.2      13.6       7.2
     00217      37.2      36.0      94.9      11.2
     00218      18.9      94.4       3.8      19.0
     00219      26.7      93.7      55.1      40.2
     00220      96.3      66.7      49.4      69.0
     00221      32.2      50.6      65.2      45.5
     00222      16.9      81.5       3.0      54.5
     00223      13.0      27.6      15.9      85.3
     00224      89.9       0.6      30.3      27.7
     00225      31.2      87.9       0.7      64.2
     00226      97.2      90.4      89.0      33.0
     00227      86.9       4.8       6.9       5.6
     00228      57.6       6.0      75.8      34.1
     00229      78.9      29.2      26.4      88.4
     00230      25.9      83.3       0.9      79.9
     00231      84.2      50.9      87.3      79.6
     00232      62.5      80.3      53.3      38.1
     00233       1.4      51.5      22.1       7.9
     00234      62.1      19.9      82.8      28.2
     00235      32.5      35.0      21.9      50.6
     00236      11.3      60.3      88.9       5.7
     00237      67.5      83.9      95.0      22.6
     00238      79.3      73.4      59.9       5.0
     00239       0.3      56.4      36.8      16.4
     00240      39.7      76.8      89.4      66.3
     00241      43.1       6.0      63.8      62.6
     00242      13.9      23.1      16.3       2.8
     00243      39.1      68.9      52.8      68.2
     00244      34.8      52.3      81.6       3.1
     00245      74.4       6.7      24.6      39.6
     00246      84.9      19.1      96.6      92.8
     00247      65.8      60.1      77.0      66.4
     00248      25.5      57.7      97.4      29.9
     00249      94.6      43.0      89.7      70.5
     00250      11.2      74.2      67.0      29.5
     00251      65.9      27.2      67.1      56.4
     00252      72.1      63.4       9.9      39.6
     00253      33.2       0.0      74.2       2.2
     00254       6.7      49.1      77.0      25.5
     00255      50.1      41.4      73.6      19.3
     00256      97.2       3.3      77.8       8.6
     00257      62.9      45.3      81.1      67.0
     00258      20.2      83.8      80.7      57.8
     00259      39.8      71.5      71.5       9.0
     00260      94.9      74.9      31.1       9.3
     00261      74.2      42.5      90.3      50.1
     00262      54.7      87.4      81.1      57.9
     00263      73.7      55.3      67.4      32.4
     00264      27.2      83.9      87.0       9.8
     00265      79.1      64.7      39.9      19.1
     00266      59.6      95.2      83.3      52.2
     00267      87.0      36.9      71.0      62.0
     00268      70.4      93.7      11.0      36.0
     00269      99.3      96.6      76.2      28.8
     00270      92.4      93.1      72.5      17.2
     00271      48.7      59.4      98.3      88.5
     00272      59.1      15.0      86.1      30.4
     00273      88.8      97.4      15.4      61.5
     00274      89.8      16.3      65.5      49.2
     00275      60.1      44.2      86.7      77.9
     00276      28.7      94.2       1.6      18.7
     00277       8.8      34.6       8.8      47.3
     00278      59.3      74.5      18.7      72.8
     00279      84.1      39.7      78.9      28.8
     00280      48.6      94.9      14.4      99.5
     00281      11.7      62.4      46.9      38.5
     00282      11.6      30.1      20.4      23.6
     00283      40.9      26.3      16.4      35.1
     00284      73.9      26.9      49.8      70.8
     00285      97.8      11.1      13.3      45.2
     00286      98.3      44.6      59.8      80.8
     00287      24.5      67.5      51.6      10.3
     00288      25.0      75.1       0.5      45.9
     00289      41.1      89.9      51.5       5.5
     00290      84.4      96.9      31.8      36.8
     00291      14.5      55.4      35.8       0.1
     00292      62.2      73.1      32.0      85.1
     00293      10.7      11.3      47.1      73.4
     00294      72.1      49.7      65.0       9.4
     00295      43.1       7.0      98.4      94.1
     00296      55.0      94.3      84.5      94.5
     00297      24.6     100.0      88.2      70.7
     00298      77.9      55.0      16.0      97.4
     00299      51.7      23.5      39.7      80.6
     00300      12.3      60.1      46.7       2.4
     00301      61.3      27.1      29.8       4.4
     00302      31.8      31.2      74.3      84.6
     00303      86.1      64.2      74.4      80.9
     00304      72.8      95.9      16.5      58.8
     00305      32.1      86.7      62.5      84.8
     00306       4.3      84.3      12.7      74.8
     00307      48.1      45.3      76.1      34.6
     00308       4.3      68.8      33.5      49.2
     00309      41.9      50.9      13.4      44.0
     00310      84.3      40.3      13.8      54.4
     00311      15.6      49.1      52.7      27.4
     00312      92.2      82.8      27.4       7.4
     00313      11.1      36.1       4.4      72.2
     00314      20.9      56.5      30.1       2.2
     00315      63.3      52.8       5.4      75.8
     00316      27.4      59.0      11.1      20.9
     00317      81.7      58.0      96.5       0.4
     00318      17.6      61.9      53.1      39.8
     00319      16.2      10.3      28.5      20.8
     00320      50.4      32.0      63.7      42.3
     00321      47.6       1.7      13.7      70.0
     00322      12.6      13.5       8.5      97.9
     00323      21.4      59.9      25.1      54.9
     00324       3.1      84.5      64.6      86.6
     00325      18.8      70.2      11.5      74.4
     00326      95.5      49.3       4.7      82.7
     00327      31.7      45.9      78.9      41.2
     00328      83.2      81.0      10.3      10.7
     00329      53.8      56.1       5.4      10.8
     00330      87.5      34.2      63.9      37.5
     00331      70.8      35.9      86.1      10.1
     00332      34.2      96.2      33.6      22.9
     00333      32.7      22.5      26.8      47.3
     00334      82.9      78.0      89.2      77.4
     00335      54.7      53.9      87.3      19.5
     00336      53.9      87.9      25.3      31.8
     00337      81.0      82.0      64.1      78.2
     00338      59.1      71.6      12.1      80.9
     00339       2.3      92.4      68.2      88.9
     00340      85.5      13.3      74.4      53.6
     00341      12.4      91.5      85.7      48.8
     00342      97.5      14.9       2.2      33.9
     00343      25.9      50.3      41.0      53.5
     00344      55.4      65.2      66.7      60.6
     00345      84.6      73.8      74.8      92.0
     00346      59.5       6.2      98.0      63.0
     00347      86.3      33.6      19.0      40.2
     00348      19.0      11.9      58.8       3.4
     00349      52.2      51.6      15.5       4.6
     00350      55.3      72.8      75.7      28.6
     00351      13.3       7.1      87.4      33.4
     00352       0.2      90.3      59.1      92.9
     00353       8.2      47.7      63.9      96.8
