        ID   English
     00001       0.0
     00002       2.5
     00003      35.3
     00004      66.7
     00005      96.3
     00006      83.8
     00007      33.5
     00008      91.5
     00009      79.6
     00010      83.3
     00011      34.5
     00012      87.1
     00013       9.0
     00014      88.8
     00015      70.1
     00016      73.5
     00017      30.0
     00018       5.0
     00019      90.8
     00020       9.8
     00021       4.0
     00022       8.5
     00023      55.9
     00024      92.6
     00025       7.6
     00026      91.2
     00027       9.2
     00028      63.8
     00029      85.2
     00030      12.1
     00031      99.5
     00032      77.8
     00033       2.0
     00034      17.0
     00035      99.5
     00036      75.4
     00037      21.8
     00038      65.9
     00039      53.9
     00040      48.0
     00041      83.9
     00042       2.5
     00043      98.9
     00044      58.6
     00045      76.7
     00046      44.5
     00047      71.0
     00048      79.5
     00049      43.9
     00050      20.9
     00051      73.1
     00052      66.6
     00053      72.2
     00054      21.1
     00055      30.8
     00056      26.3
     00057      75.2
     00058      55.0
     00059      63.7
     00060      63.1
     00061      49.5
     00062      47.1
     00063      12.3
     00064      53.5
     00065      19.4
     00066      96.8
     00067      58.9
     00068       1.8
     00069      31.4
     00070      55.3
     00071      67.6
     00072       1.7
     00073      26.6
     00074      46.1
     00075      83.7
     00076      22.9
     00077      62.4
     00078       4.5
     00079      52.3
     00080      81.0
     00081      33.2
     00082      89.2
     00083      70.3
     00084      74.6
     00085      25.9
     00086      67.1
     00087      65.5
     00088      93.5
     00089      97.1
     00090      50.1
     00091      43.0
     00092      31.7
     00093      60.4
     00094      16.9
     00095      92.6
     00096      53.6
     00097      53.8
     00098      56.5
     00099      37.0
     00100      48.8
